Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/N64/Manuals/!!System Manual (Nintendo 64).pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2F%21%21System%20Manual%20%28Nintendo%2064%29.pdf,1644085,95d8e08d59ad5bbb918c2b2ca788831f,,,!!System Manual (Nintendo 64).pdf
docs/N64/Manuals/!Operation Cards (Nintendo 64).pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2F%21Operation%20Cards%20%28Nintendo%2064%29.pdf,3937143,6e5ed8b15593e079f6659a3a45bf0c33,,,!Operation Cards (Nintendo 64).pdf
docs/N64/Manuals/![Comic] Superman.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2F%21%5BComic%5D%20Superman.pdf,2061364,bc6511e0c403cb69c2f57f29d4783f10,,,![Comic] Superman.pdf
docs/N64/Manuals/![Map] Cruis'n USA.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2F%21%5BMap%5D%20Cruis%27n%20USA.pdf,446546,03e75c91ab71c6a7b294176dc6b7a738,,,![Map] Cruis'n USA.pdf
docs/N64/Manuals/![Note] Turok 2 - Seeds of Evil.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2F%21%5BNote%5D%20Turok%202%20-%20Seeds%20of%20Evil.pdf,69804,72daddc180d433f023bc08f913b7ea20,,,![Note] Turok 2 - Seeds of Evil.pdf
docs/N64/Manuals/007 - The World is Not Enough.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2F007%20-%20The%20World%20is%20Not%20Enough.pdf,2389139,962cf034d10f5d63cc1161b8dad0382b,,,007 - The World is Not Enough.pdf
docs/N64/Manuals/1080 Snowboarding.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2F1080%20Snowboarding.pdf,2829208,ad9f7296a0d0fa4e4ee86f3cf7867bf2,,,1080 Snowboarding.pdf
docs/N64/Manuals/Aero Fighters Assault.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FAero%20Fighters%20Assault.pdf,2868941,bf9e3465f148aa7b2f2874a9321be38e,,,Aero Fighters Assault.pdf
docs/N64/Manuals/Aero Gauge.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FAero%20Gauge.pdf,3541889,6fbf09da2e5a9728123ceebf02842e3b,,,Aero Gauge.pdf
docs/N64/Manuals/Aidyn Chronicles - The First Mage.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FAidyn%20Chronicles%20-%20The%20First%20Mage.pdf,3279997,0641d6693bc3eb368132b6ac343272e7,,,Aidyn Chronicles - The First Mage.pdf
docs/N64/Manuals/All Star Tennis 99.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FAll%20Star%20Tennis%2099.pdf,1205656,3ed3282e51995e6f7b2a53448efa41f4,,,All Star Tennis 99.pdf
docs/N64/Manuals/All-Star Baseball 2000.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FAll-Star%20Baseball%202000.pdf,2752676,54c73dd1c0e6510fb188150467263e51,,,All-Star Baseball 2000.pdf
docs/N64/Manuals/All-Star Baseball 2001.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FAll-Star%20Baseball%202001.pdf,3124679,70a0929e3f8896fe3bb5712db0d9c673,,,All-Star Baseball 2001.pdf
docs/N64/Manuals/All-Star Baseball 99.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FAll-Star%20Baseball%2099.pdf,2789765,e6e7edbd2025ef2a813746a806c1b759,,,All-Star Baseball 99.pdf
docs/N64/Manuals/Armorines - Project S.W.A.R.M..pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FArmorines%20-%20Project%20S.W.A.R.M..pdf,1721313,fda31c04485459e0e6255a6b32e3ee86,,,Armorines - Project S.W.A.R.M..pdf
docs/N64/Manuals/Army Men - Air Combat.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FArmy%20Men%20-%20Air%20Combat.pdf,2594956,fad4230c2827810aa6d54448b41a9866,,,Army Men - Air Combat.pdf
docs/N64/Manuals/Army Men - Sarge's Heroes .pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FArmy%20Men%20-%20Sarge%27s%20Heroes%20.pdf,3343289,56fc791a43b6141c78297d8ccbfff2d1,,,Army Men - Sarge's Heroes .pdf
docs/N64/Manuals/Army Men - Sarge's Heroes 2.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FArmy%20Men%20-%20Sarge%27s%20Heroes%202.pdf,3388109,14927bd777c940685a41a2a191906336,,,Army Men - Sarge's Heroes 2.pdf
docs/N64/Manuals/Asteroids Hyper 64.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FAsteroids%20Hyper%2064.pdf,1928475,9458c8a88b7f9ae0d52b8e3ab3a4b98c,,,Asteroids Hyper 64.pdf
docs/N64/Manuals/Automobili Lamborghini.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FAutomobili%20Lamborghini.pdf,1052937,caeeff28ce6d599e2907911abb91828d,,,Automobili Lamborghini.pdf
docs/N64/Manuals/Banjo-Kazooie.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBanjo-Kazooie.pdf,2814193,054b8e4cdc2a03569682a976a651e6ae,,,Banjo-Kazooie.pdf
docs/N64/Manuals/Banjo-Tooie.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBanjo-Tooie.pdf,3237897,3f75ac9dc48b6d9b2e25cb46b7dae003,,,Banjo-Tooie.pdf
docs/N64/Manuals/Bass Hunter 64.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBass%20Hunter%2064.pdf,2494560,04eedce774646b9b6a0c49a3224e6926,,,Bass Hunter 64.pdf
docs/N64/Manuals/Bassmasters 2000.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBassmasters%202000.pdf,2261697,be1d4572e01c1602b82dc252f2f989d5,,,Bassmasters 2000.pdf
docs/N64/Manuals/Batman Beyond - Return of the Joker.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBatman%20Beyond%20-%20Return%20of%20the%20Joker.pdf,2957500,f137d5192c421560393a421feb3825a1,,,Batman Beyond - Return of the Joker.pdf
docs/N64/Manuals/BattleTanx - Global Assault.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBattleTanx%20-%20Global%20Assault.pdf,2973398,e1c4846e5fcef85c04db708081ba4de4,,,BattleTanx - Global Assault.pdf
docs/N64/Manuals/BattleTanx .pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBattleTanx%20.pdf,3078377,61a207edd68349f7c504b2bcd59c9937,,,BattleTanx .pdf
docs/N64/Manuals/Battlezone - Rise of the Black Dogs.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBattlezone%20-%20Rise%20of%20the%20Black%20Dogs.pdf,3072065,9beffab90da6500f9125ee36dbaaaba9,,,Battlezone - Rise of the Black Dogs.pdf
docs/N64/Manuals/Beetle Adventure Racing!.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBeetle%20Adventure%20Racing%21.pdf,1392024,d8e77c8d2a7938d7050b37dc7985b3d3,,,Beetle Adventure Racing!.pdf
docs/N64/Manuals/Big Mountain 2000.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBig%20Mountain%202000.pdf,1596732,88b9db5b03e0f4eb82c782d7e8644b4c,,,Big Mountain 2000.pdf
docs/N64/Manuals/Bio F.R.E.A.K.S..pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBio%20F.R.E.A.K.S..pdf,2789681,ac72728beca65d7660d1c54472567a64,,,Bio F.R.E.A.K.S..pdf
docs/N64/Manuals/Blast Corps.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBlast%20Corps.pdf,1966757,725bbeeb67a3ba3d0befca89ba5d98ff,,,Blast Corps.pdf
docs/N64/Manuals/Blues Brothers 2000.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBlues%20Brothers%202000.pdf,1954730,a132930defcd2dac12764216f52ca12b,,,Blues Brothers 2000.pdf
docs/N64/Manuals/Body Harvest.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBody%20Harvest.pdf,2769886,f1e965515d77713e59c39f944a470086,,,Body Harvest.pdf
docs/N64/Manuals/Bomberman 64 - The Second Attack!.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBomberman%2064%20-%20The%20Second%20Attack%21.pdf,3339577,3dcf7d7cbecbdc129d325a0221aa2c9c,,,Bomberman 64 - The Second Attack!.pdf
docs/N64/Manuals/Bomberman 64 .pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBomberman%2064%20.pdf,2610046,8dacb8dec925a86c6e908224579f1747,,,Bomberman 64 .pdf
docs/N64/Manuals/Bomberman Hero.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBomberman%20Hero.pdf,2621424,63253e6cc4cb1aee0c78f5b24d4d5853,,,Bomberman Hero.pdf
docs/N64/Manuals/Bottom of the 9th.pdf,https://archive.org/download/mister-manuals/1996_Nintendo%2064.zip/1996_Nintendo%2064%2FBottom%20of%20the%209th.pdf,2811684,047ac90ca88f9e1ff0b9ebcc22c168dc,,,Bottom of the 9th.pdf
